variant,L,H,seed,teacher_mse,baseline_mse,student_mse_init,student_mse,abs_improvement,fgl_delta,init_delta
A,20,15,0,30.02777777777778,136.13888888888889,109.55729166666667,85.4375,50.701388888888886,37.24239951030402,22.015688138816262
A,20,15,1,30.03125,118.66666666666667,107.98958333333333,118.72743055555556,-0.06076388888888573,-0.05120552434456663,-9.943410179736992
A,20,15,2,30.008680555555557,127.75868055555556,119.84201388888889,97.33506944444444,30.423611111111114,23.813341667912326,18.780512538208576
A,20,15,3,30.14409722222222,127.74652777777777,82.37326388888889,82.08680555555556,45.659722222222214,35.74243700905112,0.3477564440322829
A,20,15,4,30.11111111111111,135.86631944444446,109.32465277777777,109.61111111111111,26.255208333333343,19.324294969268717,-0.26202537676073984
E,20,15,0,30.02777777777778,136.13888888888889,109.55729166666667,57.36631944444444,78.77256944444444,57.86191593552337,47.63806354488551
E,20,15,1,30.03125,118.66666666666667,107.98958333333333,94.14236111111111,24.524305555555557,20.666549625468164,12.822738818687496
E,20,15,2,30.008680555555557,127.75868055555556,119.84201388888889,57.94444444444444,69.81423611111111,54.645395371590865,51.64930681307857
E,20,15,3,30.14409722222222,127.74652777777777,82.37326388888889,77.66145833333333,50.08506944444444,39.20659944008045,5.720066600628072
E,20,15,4,30.11111111111111,135.86631944444446,109.32465277777777,56.723958333333336,79.14236111111111,58.250169309600174,48.114211303615946
