dataset,periodicity,arm,student_mse,student_sd,init_delta,init_delta_sd,rounds_used,baseline_mse
base_h2o(period-1),0.9397587901233566,A_single,108.95023148148148,10.250085913223336,0.0,0.0,0.0,121.6255787037037
base_h2o(period-1),0.9397587901233566,E_single,39.767361111111114,14.450458128998,62.570375268762746,16.97075815373902,1.0,121.6255787037037
base_h2o(period-1),0.9397587901233566,A_iter,30.098958333333332,0.09992823910526538,72.20820349349567,2.6387968869146485,4.666666666666667,121.6255787037037
base_h2o(period-1),0.9397587901233566,E_iter,39.18634259259259,14.96459422716005,63.06194034519851,17.445469085423774,3.0,121.6255787037037
tau50,0.5570259478286682,A_single,104.09722222222223,2.4090631165632166,0.0,0.0,0.0,103.8431712962963
tau50,0.5570259478286682,E_single,83.5714699074074,1.574725592588372,19.688362852223104,2.4182052094899467,1.0,103.8431712962963
tau50,0.5570259478286682,A_iter,84.57002314814814,0.9035838470930584,18.720256371096983,2.5565500508523047,3.3333333333333335,103.8431712962963
tau50,0.5570259478286682,E_iter,82.86805555555556,1.0826330285236279,20.373776859412814,1.545473525336916,2.3333333333333335,103.8431712962963
tau100,0.48598212773922894,A_single,160.4482060185185,0.46069004046553047,0.0,0.0,0.0,172.50925925925924
tau100,0.48598212773922894,E_single,156.19068287037035,5.826348947677671,2.6565644431898447,3.500549333385915,1.0,172.50925925925924
tau100,0.48598212773922894,A_iter,145.78327546296296,0.43063284523202433,9.139172136116878,0.4729863412250527,5.0,172.50925925925924
tau100,0.48598212773922894,E_iter,144.58912037037038,4.9382514284451755,9.880723764177858,3.2219833925341397,3.3333333333333335,172.50925925925924
tau150,0.4680730907162063,A_single,149.39409722222223,1.1821778962024625,0.0,0.0,0.0,156.8258101851852
tau150,0.4680730907162063,E_single,141.34403935185185,1.0926486454131383,5.38212339793228,1.3316976165513188,1.0,156.8258101851852
tau150,0.4680730907162063,A_iter,135.8359375,6.195987739150688,9.076740937532664,4.027943361046967,4.333333333333333,156.8258101851852
tau150,0.4680730907162063,E_iter,129.62962962962965,1.2320997003105214,13.222880011736239,1.416445613692804,4.333333333333333,156.8258101851852
