L,H,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
8,5,0,108.34375,30.598958333333332,109.26909722222223,-0.9253472222222285,-0.8540845431529078
8,5,1,108.53125,30.640625,109.28993055555556,-0.7586805555555571,-0.6990434142752038
8,5,2,108.08159722222223,31.0625,109.1875,-1.1059027777777715,-1.0232109870693058
8,15,0,113.71875,30.505208333333332,111.97743055555556,1.7413194444444429,1.5312509541693369
8,15,1,121.94097222222223,30.51215277777778,111.30902777777777,10.631944444444457,8.7189270765113
8,15,2,112.48958333333333,30.22048611111111,112.76736111111111,-0.2777777777777857,-0.246936444732544
8,30,0,131.24479166666666,34.28515625,129.828125,1.4166666666666572,1.0794079130124141
8,30,1,121.75173611111111,34.466796875,129.75,-7.998263888888886,-6.569322248998271
8,30,2,130.14756944444446,33.986328125,125.79340277777777,4.354166666666686,3.345561261922245
8,45,0,125.265625,30.064453125,128.09375,-2.828125,-2.2577023824373206
8,45,1,125.12152777777777,30.34375,124.03819444444444,1.0833333333333286,0.8658248924656546
8,45,2,125.88541666666667,30.49609375,121.31597222222223,4.569444444444443,3.629844159426285
8,60,0,147.72395833333334,29.966796875,136.703125,11.020833333333343,7.460423791559433
8,60,1,133.79340277777777,30.9765625,144.05034722222223,-10.256944444444457,-7.666255758126267
8,60,2,141.15451388888889,30.423828125,127.30034722222223,13.854166666666657,9.814894532931548
20,5,0,106.515625,30.104166666666668,95.80208333333333,10.713541666666671,10.058187863674153
20,5,1,106.58506944444444,30.03472222222222,106.54861111111111,0.036458333333328596,0.03420585408759512
20,5,2,106.65798611111111,30.0,106.59722222222223,0.06076388888888573,0.05697078212744881
20,15,0,136.13888888888889,30.02777777777778,109.55729166666667,26.581597222222214,19.525351968985916
20,15,1,118.66666666666667,30.03125,107.98958333333333,10.677083333333343,8.997542134831468
20,15,2,127.75868055555556,30.008680555555557,119.84201388888889,7.916666666666671,6.196578292951395
20,30,0,118.69618055555556,33.779296875,110.97395833333333,7.7222222222222285,6.505872544574301
20,30,1,119.77604166666667,33.712890625,120.515625,-0.7395833333333286,-0.6174718441535813
20,30,2,128.54340277777777,33.7421875,120.44618055555556,8.097222222222214,6.299212598425191
20,45,0,122.32118055555556,29.46484375,139.05902777777777,-16.737847222222214,-13.683523283704949
20,45,1,130.12847222222223,29.3828125,131.11111111111111,-0.9826388888888857,-0.7551298129519414
20,45,2,127.02951388888889,29.3828125,133.09375,-6.064236111111114,-4.773879648485017
20,60,0,14.791666666666666,29.505859375,15.208333333333334,-0.41666666666666785,-2.8169014084507125
20,60,1,14.87326388888889,29.38671875,15.309027777777779,-0.4357638888888893,-2.9298470876619613
20,60,2,14.855902777777779,29.4140625,15.11111111111111,-0.25520833333333215,-1.7178917845039068
35,5,0,106.43923611111111,29.75173611111111,106.48090277777777,-0.04166666666665719,-0.0391459655189198
35,5,1,106.46006944444444,29.70659722222222,106.54513888888889,-0.08506944444444287,-0.07990737267820011
35,5,2,106.47569444444444,29.73611111111111,106.5,-0.024305555555557135,-0.022827327572152143
35,15,0,113.43055555555556,29.74826388888889,109.03819444444444,4.392361111111114,3.8722909269009453
35,15,1,132.08333333333334,29.75,109.49826388888889,22.585069444444457,17.099106203995802
35,15,2,107.98090277777777,29.69097222222222,119.29861111111111,-11.317708333333343,-10.48121292023732
35,30,0,128.19444444444446,33.4921875,132.71527777777777,-4.520833333333314,-3.5265438786565397
35,30,1,126.890625,33.4296875,128.01909722222223,-1.1284722222222285,-0.8893267112698268
35,30,2,113.72222222222223,33.4609375,123.43229166666667,-9.710069444444443,-8.538409868099656
35,45,0,15.140625,29.078125,15.03298611111111,0.10763888888888928,0.7109276459121686
35,45,1,14.949652777777779,29.06640625,14.63888888888889,0.3107638888888893,2.0787364998258067
35,45,2,15.109375,29.11328125,15.522569444444445,-0.41319444444444464,-2.7346891876364485
35,60,0,14.241319444444445,29.13671875,29.97048611111111,-15.729166666666666,-110.44739729367303
35,60,1,14.229166666666666,29.142578125,30.223958333333332,-15.994791666666666,-112.40849194729137
35,60,2,14.234375,29.1796875,29.828125,-15.59375,-109.54994511525796
50,5,0,106.45659722222223,29.67013888888889,106.46354166666667,-0.0069444444444428655,-0.0065232635887719805
50,5,1,106.45138888888889,29.647569444444443,83.13715277777777,23.314236111111114,21.90129819296758
50,5,2,106.45138888888889,29.6875,106.47048611111111,-0.019097222222228538,-0.017939852567035747
50,15,0,108.15104166666667,29.666666666666668,120.15798611111111,-12.006944444444443,-11.102014607913956
50,15,1,108.02604166666667,29.635416666666668,113.671875,-5.645833333333329,-5.226363241888043
50,15,2,116.23958333333333,29.71527777777778,122.56423611111111,-6.324652777777786,-5.441049078471794
50,30,0,14.838541666666666,33.361328125,44.109375,-29.270833333333336,-197.2621972621973
50,30,1,14.819444444444445,33.326171875,14.809027777777779,0.010416666666666075,0.07029053420805598
50,30,2,14.866319444444445,33.390625,44.28472222222222,-29.41840277777778,-197.88625481723696
50,45,0,14.227430555555555,29.04296875,43.795138888888886,-29.56770833333333,-207.82184258694323
50,45,1,14.244791666666666,29.0,29.75173611111111,-15.506944444444445,-108.86045094454602
50,45,2,14.234375,29.1015625,43.767361111111114,-29.532986111111114,-207.47652152701554
50,60,0,14.133680555555555,29.03125,43.65972222222222,-29.526041666666664,-208.90553985996806
50,60,1,14.125,29.033203125,43.63194444444444,-29.506944444444443,-208.89872173058012
50,60,2,14.125,29.08984375,43.65972222222222,-29.53472222222222,-209.0953785644051
72,5,0,14.114583333333334,14.177083333333334,14.383680555555555,-0.26909722222222143,-1.9065190651906463
72,5,1,14.11111111111111,14.15798611111111,14.645833333333334,-0.5347222222222232,-3.7893700787401645
72,5,2,14.12673611111111,14.17361111111111,14.432291666666666,-0.30555555555555536,-2.1629593216173024
72,15,0,14.098958333333334,15.884765625,14.15451388888889,-0.05555555555555536,-0.39404014283955036
72,15,1,14.116319444444445,15.86328125,14.722222222222221,-0.6059027777777768,-4.2922149797072855
72,15,2,14.112847222222221,15.90234375,14.22048611111111,-0.10763888888888928,-0.7627014392914286
72,30,0,14.11111111111111,15.921875,14.604166666666666,-0.49305555555555536,-3.494094488188975
72,30,1,14.09375,15.90234375,14.59548611111111,-0.5017361111111107,-3.5599901453559966
72,30,2,14.090277777777779,15.912109375,14.215277777777779,-0.125,-0.8871365204534253
72,45,0,14.131944444444445,15.955078125,14.583333333333334,-0.4513888888888893,-3.1941031941031968
72,45,1,14.088541666666666,15.974609375,14.619791666666666,-0.53125,-3.770794824399261
72,45,2,14.104166666666666,15.935546875,14.18923611111111,-0.08506944444444464,-0.6031511570654864
72,60,0,12.009765625,15.955078125,12.515625,-0.505859375,-4.212067002764678
72,60,1,12.025390625,15.98046875,12.521484375,-0.49609375,-4.125385739808348
72,60,2,12.01171875,15.94140625,12.26171875,-0.25,-2.08130081300813
