dataset,periodicity,N,baseline_mse,baseline_sd,student_mse,student_sd,improvement,improvement_sd
base_h2o(period-1),0.9397587901233566,3001,127.52141203703702,8.738527313460141,112.46296296296298,6.438339986375127,11.573157465589594,7.02775907923464
tau30,0.7893408509096849,6000,247.45891203703704,1.312855996112451,245.30931712962965,4.607499907413339,0.8727035168322607,1.416297442598378
tau50,0.5570259478286682,6000,104.01359953703702,0.26335342542801493,104.71383101851852,0.941511132536243,-0.6742982202265816,1.0412286676635334
tau80,0.785072482909598,6000,160.69994212962965,1.161963724089604,149.49565972222223,3.1496664670157193,6.960323160012695,2.5873965851379293
tau100,0.48598212773922894,6000,172.453125,1.2345791776165775,160.50954861111111,0.7222989033477767,6.9209742180390466,1.0259811210436904
tau150,0.4680730907162063,6000,159.29832175925924,3.8277210999342373,150.87702546296296,2.5353319182853444,5.225610923094705,3.836267074365839
