L,H,seed,variant,baseline_mse,student_mse_init,student_mse,fgl_delta,init_delta
8,5,0,A,108.34375,109.26909722222223,109.29166666666667,-0.8749158734737089,-0.020654919843021164
8,5,1,A,108.53125,109.28993055555556,109.39409722222223,-0.7950219150910255,-0.09531222697018749
8,5,0,E,108.34375,109.26909722222223,108.72222222222223,-0.34932538537961677,0.500484596196317
8,5,1,E,108.53125,109.28993055555556,108.83680555555556,-0.2815369357263987,0.41460818732029675
8,15,0,A,113.71875,111.97743055555556,121.92013888888889,-7.211993526915206,-8.879207429572547
8,15,1,A,121.94097222222223,111.30902777777777,113.74479166666667,6.721432842620804,-2.1882896091337405
8,15,0,E,113.71875,111.97743055555556,97.21354166666667,14.514060639369786,13.184700537992832
8,15,1,E,121.94097222222223,111.30902777777777,98.18576388888889,19.480907770722407,11.789936675297124
8,30,0,A,131.24479166666666,129.828125,117.140625,10.746458192785422,9.772535804549284
8,30,1,A,121.75173611111111,129.75,129.765625,-6.5821557415619765,-0.012042389210019268
8,30,0,E,131.24479166666666,129.828125,33.255208333333336,74.66169292432238,74.38520479801018
8,30,1,E,121.75173611111111,129.75,64.43576388888889,47.07610261090277,50.338524941126096
8,45,0,A,125.265625,128.09375,132.80208333333334,-6.0163818552243225,-3.675693258518345
8,45,1,A,125.12152777777777,124.03819444444444,134.25347222222223,-7.2984598307201445,-8.235590515914124
8,45,0,E,125.265625,128.09375,91.13368055555556,27.247654290188905,28.853921010544575
8,45,1,E,125.12152777777777,124.03819444444444,70.67708333333333,43.513251005966424,43.01990314363296
8,60,0,A,147.72395833333334,136.703125,136.40451388888889,7.662565078917377,0.21843766271701123
8,60,1,A,133.79340277777777,144.05034722222223,146.41145833333334,-9.430999805359125,-1.639087413978043
8,60,0,E,147.72395833333334,136.703125,111.46006944444444,24.548414013562276,18.46560241805413
8,60,1,E,133.79340277777777,144.05034722222223,87.97743055555556,34.24382015181989,38.92591565931086
20,5,0,A,106.515625,95.80208333333333,106.82986111111111,-0.2950140987400809,-11.510999963756307
20,5,1,A,106.58506944444444,106.54861111111111,106.65798611111111,-0.06841170817520358,-0.10265267548719284
20,5,0,E,106.515625,95.80208333333333,29.958333333333332,71.87423597868076,68.72893334783082
20,5,1,E,106.58506944444444,106.54861111111111,56.29340277777778,47.18453243855162,47.166460275043995
20,15,0,A,136.13888888888889,109.55729166666667,85.4375,37.24239951030402,22.015688138816262
20,15,1,A,118.66666666666667,107.98958333333333,118.72743055555556,-0.05120552434456663,-9.943410179736992
20,15,0,E,136.13888888888889,109.55729166666667,57.36631944444444,57.86191593552337,47.63806354488551
