L,H,tau,L_plus_H_minus_1,seed,baseline_mse,teacher_mse,student_mse,abs_improvement,fgl_delta
5,2,13,6,0,0.7421875,0.86875,3.4203125,-2.678125,-360.8421052631579
5,2,13,6,1,0.6651041666666667,0.5197916666666667,1.8260416666666666,-1.1609374999999997,-174.54972592012524
5,2,13,6,2,1.2776041666666667,0.6380208333333334,2.24375,-0.9661458333333333,-75.62168772931103
5,2,13,6,3,0.6385416666666667,0.6921875,3.9953125,-3.356770833333333,-525.6933115823816
5,2,13,6,4,1.8239583333333333,1.1239583333333334,2.8098958333333335,-0.9859375000000001,-54.054825813820685
5,4,13,8,0,0.9765625,1.034375,2.4619791666666666,-1.4854166666666666,-152.10666666666665
5,4,13,8,1,1.6130208333333333,0.5291666666666667,2.2963541666666667,-0.6833333333333333,-42.36357765579593
5,4,13,8,2,1.2979166666666666,0.490625,2.058854166666667,-0.7609375000000003,-58.62760834670949
5,4,13,8,3,2.6958333333333333,0.6848958333333334,2.918229166666667,-0.22239583333333357,-8.249613601236485
5,4,13,8,4,1.2697916666666667,1.0723958333333334,2.5703125,-1.3005208333333333,-102.4200164068909
5,6,13,10,0,8.075,0.9208333333333333,5.405729166666666,2.669270833333333,33.05598555211558
5,6,13,10,1,7.388020833333333,0.521875,5.418229166666666,1.9697916666666666,26.661966866408175
5,6,13,10,2,8.171354166666667,0.5807291666666666,5.6125,2.5588541666666673,31.314934030212253
5,6,13,10,3,8.29375,0.6067708333333334,5.422395833333334,2.8713541666666655,34.62069831700577
5,6,13,10,4,7.720833333333333,1.0442708333333333,7.950520833333333,-0.22968749999999982,-2.9749055585536945
5,7,13,11,0,14.16875,0.9354166666666667,5.371875,8.796875,62.08645787384208
5,7,13,11,1,10.430729166666667,0.44895833333333335,5.497916666666667,4.932812500000001,47.29115693813352
5,7,13,11,2,12.871354166666666,0.6567708333333333,5.641145833333334,7.230208333333333,56.17286448427953
5,7,13,11,3,11.993229166666667,0.6390625,7.378645833333334,4.614583333333334,38.47657098189083
5,7,13,11,4,13.9734375,1.084375,7.700520833333333,6.272916666666666,44.891721644489174
5,8,13,12,0,13.127604166666666,1.8223958333333334,1.8901041666666667,11.237499999999999,85.60206308272168
5,8,13,12,1,13.738541666666666,0.5791666666666667,3.769270833333333,9.969270833333333,72.5642580938661
5,8,13,12,2,13.9234375,0.6083333333333333,4.392708333333333,9.530729166666667,68.45097819174802
5,8,13,12,3,12.1609375,0.7942708333333334,4.284375,7.8765624999999995,64.76936913786457
5,8,13,12,4,13.955208333333333,0.9526041666666667,4.211458333333334,9.743749999999999,69.8216018511607
5,9,13,13,0,10.4234375,1.0598958333333333,2.775,7.6484375,73.37730475191125
5,9,13,13,1,14.270833333333334,0.5203125,2.840625,11.430208333333333,80.0948905109489
5,9,13,13,2,13.992708333333333,0.5109375,3.8895833333333334,10.103124999999999,72.20278418819325
5,9,13,13,3,13.023958333333333,0.7114583333333333,3.9640625,9.059895833333332,69.56330480684635
5,9,13,13,4,10.294791666666667,0.6255208333333333,4.090104166666666,6.2046875,60.27016088232319
5,10,13,14,0,12.75,1.6463541666666666,2.8604166666666666,9.889583333333334,77.56535947712419
5,10,13,14,1,11.1265625,0.440625,3.300520833333333,7.826041666666667,70.33656321677667
5,10,13,14,2,13.0703125,0.6317708333333333,4.575520833333333,8.494791666666668,64.99302649930266
5,10,13,14,3,9.016666666666667,0.5984375,4.4109375,4.605729166666667,51.08017560073937
5,10,13,14,4,10.144791666666666,0.7697916666666667,5.41875,4.726041666666666,46.58589177533627
5,11,13,15,0,14.839583333333334,1.0604166666666666,4.880729166666667,9.958854166666667,67.11006598343394
5,11,13,15,1,4.788541666666666,0.5088541666666667,3.834375,0.9541666666666662,19.92603872090493
5,11,13,15,2,8.428125,0.5177083333333333,4.380729166666667,4.047395833333333,48.022494129279444
5,11,13,15,3,9.0390625,0.5848958333333333,5.2203125,3.8187499999999996,42.247191011235955
5,11,13,15,4,3.453125,0.6729166666666667,4.429166666666666,-0.9760416666666663,-28.2654600301659
5,12,13,16,0,5.661458333333333,0.7375,4.089583333333334,1.5718749999999995,27.76448942042318
5,12,13,16,1,3.7348958333333333,0.4395833333333333,4.245833333333334,-0.5109375000000003,-13.680100404406645
5,12,13,16,2,4.321354166666667,0.6145833333333334,5.339583333333334,-1.018229166666667,-23.562733518139094
5,12,13,16,3,4.480208333333334,0.6635416666666667,4.9109375,-0.4307291666666666,-9.6140432457568
5,12,13,16,4,4.331770833333334,0.7723958333333333,4.299479166666667,0.03229166666666661,0.7454611037633748
5,14,13,18,0,8.8296875,1.0296875,2.4994791666666667,6.330208333333333,71.69232584203385
5,14,13,18,1,9.064583333333333,0.43697916666666664,3.9442708333333334,5.1203125,56.48701447943002
5,14,13,18,2,10.4703125,0.5057291666666667,4.290625,6.1796875,59.02104163557678
5,14,13,18,3,9.961979166666667,0.5557291666666667,4.2328125,5.729166666666668,57.51032571757203
5,14,13,18,4,15.0140625,0.7453125,2.4291666666666667,12.584895833333333,83.82072362715509
5,16,13,20,0,13.240625,1.0953125,1.9364583333333334,11.304166666666667,85.37487215797341
5,16,13,20,1,4.984375,0.540625,1.7567708333333334,3.2276041666666666,64.75444096133751
5,16,13,20,2,7.170833333333333,0.48541666666666666,1.8234375,5.347395833333334,74.57147007553748
5,16,13,20,3,10.318229166666667,0.5192708333333333,2.23125,8.086979166666666,78.37564989147442
5,16,13,20,4,8.566145833333334,0.6802083333333333,2.291145833333333,6.275,73.25348087797167
