L,H,seed,arm,baseline_mse,student_mse,fgl_delta,init_delta,rounds_used,mse_curve_val,mse_curve_test
4,7,0,A_single,12.181770833333333,5.589583333333334,54.11518235067767,0.0,0,5.795,5.590
4,7,0,E_single,12.181770833333333,2.253125,81.50412587113601,59.690644800596345,1,5.795;2.328,5.590;2.253
4,7,0,A_iter,12.181770833333333,0.7479166666666667,93.86036170849545,86.61945583302273,5,5.795;4.255;1.559;0.930;0.771;0.771,5.590;4.094;1.497;0.925;0.748;0.742
4,7,0,E_iter,12.181770833333333,0.7645833333333333,93.72354525631708,86.32128214685054,5,5.795;2.183;1.176;0.882;0.796;0.816,5.590;2.092;1.133;0.844;0.765;0.790
4,7,1,A_single,12.345833333333333,6.117708333333334,50.447181910226114,0.0,0,6.202,6.118
4,7,1,E_single,12.345833333333333,2.128645833333333,82.75818427269658,65.20517623020604,1,6.202;2.193,6.118;2.129
4,7,1,A_iter,12.345833333333333,0.6885416666666667,94.42288221397231,88.74510471649924,5,6.202;3.865;1.018;0.869;0.831;0.694,6.118;3.707;1.009;0.852;0.816;0.689
4,7,1,E_iter,12.345833333333333,0.5734375,95.35521430982112,90.62659628809809,5,6.202;2.096;1.077;0.841;0.637;0.576,6.118;2.018;1.065;0.823;0.631;0.573
4,7,2,A_single,12.408854166666666,8.195833333333333,33.95173137460651,0.0,0,8.360,8.196
4,7,2,E_single,12.408854166666666,2.597395833333333,79.0682056663169,68.3083375699034,1,8.360;2.601,8.196;2.597
4,7,2,A_iter,12.408854166666666,0.6395833333333333,94.84575026232949,92.19623792577529,5,8.360;5.775;3.207;1.518;0.888;0.624,8.196;5.487;3.115;1.502;0.855;0.640
4,7,2,E_iter,12.408854166666666,0.7515625,93.94333683105981,90.82994407727504,4,8.360;2.578;1.631;0.750;1.050,8.196;2.557;1.634;0.752;1.025
4,10,0,A_single,11.5734375,4.249479166666666,63.28248053642951,0.0,0,4.354,4.249
4,10,0,E_single,11.5734375,2.8328125,75.52315377345755,33.33741880132368,1,4.354;2.847,4.249;2.833
4,10,0,A_iter,11.5734375,0.6276041666666666,94.57720174609604,85.23103321485476,5,4.354;2.528;1.291;1.079;0.717;0.640,4.249;2.547;1.301;1.070;0.710;0.628
4,10,0,E_iter,11.5734375,0.6729166666666667,94.18568021241167,84.16472606937124,5,4.354;1.698;1.203;0.926;0.804;0.681,4.249;1.726;1.214;0.930;0.805;0.673
4,10,1,A_single,20.68125,2.540625,87.71532184950136,0.0,0,2.563,2.541
4,10,1,E_single,20.68125,1.1854166666666666,94.26815755011584,53.341533415334155,1,2.563;1.205,2.541;1.185
4,10,1,A_iter,20.68125,0.5432291666666667,97.37332527450387,78.61828618286182,5,2.563;1.218;0.916;0.718;0.589;0.570,2.541;1.216;0.902;0.698;0.574;0.543
4,10,1,E_iter,20.68125,0.5385416666666667,97.39599073234612,78.80278802788028,5,2.563;1.798;0.917;0.803;0.630;0.557,2.541;1.780;0.907;0.787;0.613;0.539
4,10,2,A_single,10.972916666666666,4.055729166666667,63.03873172584014,0.0,0,4.071,4.056
4,10,2,E_single,10.972916666666666,1.3833333333333333,87.39320296183786,65.89187106716322,1,4.071;1.389,4.056;1.383
4,10,2,A_iter,10.972916666666666,0.9614583333333333,91.23789633567496,76.29382303839733,4,4.071;1.515;1.179;0.977;1.055,4.056;1.513;1.187;0.961;1.036
4,10,2,E_iter,10.972916666666666,0.7760416666666666,92.92766280615152,80.8655451393348,4,4.071;1.527;1.121;0.779;0.798,4.056;1.529;1.106;0.776;0.784
13,7,0,A_single,0.3125,0.35833333333333334,-14.666666666666666,0.0,0,0.347,0.358
13,7,0,E_single,0.3125,0.29739583333333336,4.833333333333325,17.005813953488367,1,0.347;0.281,0.358;0.297
13,7,0,A_iter,0.3125,0.26666666666666666,14.666666666666666,25.581395348837212,3,0.347;0.292;0.254;0.273,0.358;0.303;0.267;0.286
13,7,0,E_iter,0.3125,0.2734375,12.5,23.691860465116278,5,0.347;0.322;0.281;0.265;0.255;0.259,0.358;0.340;0.295;0.278;0.273;0.271
13,7,1,A_single,0.29583333333333334,0.3958333333333333,-33.80281690140844,0.0,0,0.384,0.396
13,7,1,E_single,0.29583333333333334,0.3338541666666667,-12.85211267605634,15.657894736842099,1,0.384;0.330,0.396;0.334
13,7,1,A_iter,0.29583333333333334,0.3046875,-2.992957746478872,23.02631578947368,3,0.384;0.322;0.292;0.292,0.396;0.342;0.305;0.305
13,7,1,E_iter,0.29583333333333334,0.30104166666666665,-1.760563380281684,23.94736842105263,4,0.384;0.333;0.309;0.289;0.340,0.396;0.348;0.323;0.301;0.352
13,7,2,A_single,0.30416666666666664,0.4265625,-40.239726027397275,0.0,0,0.406,0.427
13,7,2,E_single,0.30416666666666664,0.38177083333333334,-25.513698630137,10.500610500610502,1,0.406;0.361,0.427;0.382
13,7,2,A_iter,0.30416666666666664,0.31614583333333335,-3.9383561643835754,25.885225885225882,3,0.406;0.349;0.300;0.308,0.427;0.374;0.316;0.326
13,7,2,E_iter,0.30416666666666664,0.29739583333333336,2.2260273972602573,30.28083028083028,4,0.406;0.394;0.341;0.284;0.296,0.427;0.414;0.357;0.297;0.312
