seed,arm,student_mse,baseline_mse,teacher_mse,fgl_delta,init_delta,rounds_used,total_epochs
0,A_single,111.490625,126.29895833333333,186.37604166666668,11.724826181266344,0.0,0,0
0,A_iter,89.56354166666667,126.29895833333333,186.37604166666668,29.08608048034178,19.667199222655114,1,2
0,E_single,90.10052083333333,126.29895833333333,186.37604166666668,28.660915321616205,19.18556306116919,1,2
0,E_iter,89.85729166666667,126.29895833333333,186.37604166666668,28.853497406121388,19.403724154684152,1,2
0,E_soft_single,89.7578125,126.29895833333333,186.37604166666668,28.932262241539995,19.492950640468646,1,2
0,E_soft_iter,90.05989583333333,126.29895833333333,186.37604166666668,28.69308106592328,19.222001102484327,1,2
